Address-City|Address-Country|Address-State|Address-Street Direction|Address-Street Name|Address-Street Number|Address-Unit Number|Address-Zip|Appliance Description|Association Fee|Cooling Description|Directions|Garage Description|Heating Description|List Date|Lot Description|Lot Size-Acres|MLS Board|Listing Agent ID|Listing Agent Name|Listing Office ID|Listing Office Name|Listing Office Phone|Listing Modified Date|MLS Number|Property Type|Amenities|Pool Description|Price|Property Class|Room Count-Total Bedrooms|Room Count-Total Full Baths|Room Count-Total Half Baths|Room Count-Total Rooms|School District|School-Elementary|School-High|School-Middle|Sewer|SQFT|Tax|Tax ID|Tax Year|Year Built|MLS Listing Status|Remarks|Basement Description|Basement YN|Golf Club YN|Horse Facilities YN|Health Club YN|Display Address on Internet YN|Virtual Tour URL|List Agent E-Mail Address|Fireplaces|Relocation Membership ID|RentalType|RentalPrice|CountyName|Subdivision|ExteriorAmenities|Listing CoAgent ID|Listing CoAgent Name
Carnelian Bay|USA|CA||3658 Lacrosse Drive|||96140|Range,Oven,Microwave,Disposal,Dishwasher,Refrigerator,Washer,Dryer||None|Hwy 28 to Old County, Right on Lacrosse, home is on the right.||Natural Gas,Wood,CFAH|2017-05-20 00:00:00|Street||TSMLS|3486|Linda Granger|apin01|Lake Tahoe||2018-01-29 14:29:40|20171019|Single Family|||735000.00|Single Family|4|2|1|||||||2176||||1984|Active|A wonderful house located off Old County Rd. Views of Lake Tahoe, close to Tahoe City for local shopping and dining. Within minutes of local hiking and biking trails. Near many local ski areas as well as cross country trails. Vaulted ceilings in the living room granite counter tops and wood accents throughout the home. A large deck for enjoying a summer BBQ or taking in the views of the lake. A smaller private deck off 2 of the bedrooms for use of the hot tub. A great home for all Tahoe has to offer!||N|N|N|N|Y|http://skaggsphoto.net/unbranded_tours/3658_lacrosseDr/|linda@grangergrouptahoe.com||12176|||Placer||||
Alpine Meadows|USA|CA||1581 Zurs Court|||96146|Range,Oven,Microwave,Disposal,Dishwasher,Refrigerator,Washer,Dryer|1000.00|None|From Hwy 89 turn onto Alpine Meadows Rd. Right on Juniper Mtn. Rd. Left on Zurs Court.||Propane,Hydronic|2017-05-22 00:00:00|Street||TSMLS|3486|Linda Granger|apin01|Lake Tahoe||2018-01-29 14:29:41|20171042|Single Family|Pantry,High Ceilings,Intercom,Landscaping,Cable TV,Steam Shower,Wine Room||1649995.00|Single Family|4|4|1||||||Utility District|4209||||1998|Active|Beautiful Ward-Young designed home located on a sunny lot with amazing views on a quiet cul-de-sac at the top of prestigious Juniper Mountain. This property features a grand master bedroom with gas fireplace, spacious walk in closet, steam/dual shower & deck with room for a spa, plus 2 additional en suite bedrooms. Luxury extras include: Media/Recreation room, gym, office, heated garage and exquisite wine cellar. Snowshoe and XC ski from home or enjoy world class skiing at Squaw Valley or Alpine.||N|N|N|N|Y|http://www.tourfactory.com/idxr1485401|linda@grangergrouptahoe.com||12176|||Placer||||
Carnelian Bay|USA|CA||444 Nightingale Road|||96140|Range,Oven,Dishwasher,Refrigerator,Washer,Dryer||None|N. Lake Blvd to Old County Rd. Rt. on Nightingale, home on Rt.||Natural Gas|2017-11-22 00:00:00|Street||TSMLS|3486|Linda Granger|apin01|Lake Tahoe||2018-01-29 14:30:43|20173094|Single Family|Pantry,Hot Tub,Sauna||1499000.00|Single Family|4|3|0||||||Utility District|3027||||1974|Active|Every place in this incredible home provides a unique, special and spectacular view of the lake or creek. The "Phoenix House" is a one of a kind home. This modern, reclaimed redwood home is literally embedded into the hillside and nature spanning four floors with decks on every level. The home was created to live with nature; surrounding a granite boulder, a cedar tree, and an authentic Indian grinding stone, the home is set over a creek which provides a transformative experience.||N|N|N|N|Y|http://skaggsphoto.net/unbranded_tours/444_nightingaleRd/|linda@grangergrouptahoe.com||12176|||Placer||||
Homewood|USA|CA||760 Park Avenue|||96141|Range,Oven,Microwave,Disposal,Refrigerator,Washer,Dryer|175.00|None|Hwy 89 to Park Avenue, house is on the right near the end of Park Ave.||Natural Gas|2018-01-19 00:00:00|Greenbelt||TSMLS|3486|Linda Granger|apin01|Lake Tahoe||2018-01-29 14:31:07|20180092|Single Family|High Ceilings||1235000.00|Single Family|3|3|0||||||Utility District|1925||||2013|Active|Incredible mountain home offers three bedrooms plus a bonus room. Stunning vaulted ceilings, granite counter tops, and surrounded by greenbelt. This private location at the end of Park Ave gives you access to local biking and hiking trails right out your front door. Close to several local ski areas, shopping, and dining options. Within minutes to the HOA pier and adjacent beach.||N|N|N|N|Y|http://skaggsphoto.net/unbranded_tours/760_parkAve/|linda@grangergrouptahoe.com||12176|||Placer||||
Point Arena|USA|CA||40050 Garcia River Road|||95468||0.00|None||||2016-04-20 00:00:00|Agricultural,Irregular,Private,River Front,Secluded|1058|BAREISMCG|E323897|Mark Stornetta|7ZAPR10|Sonoma||2018-02-01 01:08:07|21608061|Single Family|||5250000.00|Single Family|3|2|0|||||||||||0|Active|Spectacular California ranch features ocean views and Garcia River frontage. Located 10 minutes east of Point Arena, this unique ranch is appx. 1,058 acres and includes: appx. 150 acres of useable agricultural land; certificates of compliance for six legal parcels; 12+/- million board feet of timber with about 60% redwood; and excellent roads. Enjoy an outdoor recreational adventure with hiking, biking, hunting, fishing, swimming and kayaking.||N|N|N|N|Y|https://vimeo.com/162759938|mstornetta@apr.com||12176|||Mendocino||||
Santa Rosa|USA|CA||6902 Plum Ranch Road|||95404||0.00|None||||2017-05-13 00:00:00|Agricultural,Irregular,Private,Rolling,Seasonal Creek|258.47|BAREISMCG|E323897|Mark Stornetta|7ZAPR10|Sonoma||2018-02-01 01:08:07|21709846|Single Family|Deck(s),Entry Gate,Formal Entry,Open Beam Ceiling,Wet Bar(s)||5975000.00|Single Family|3|3|1||Santa Rosa|||||4811||||2015|Active|Breathtaking estate property offering 258.47+/- acres with rolling hills, 4+/- acre vineyard, horse trails, pastures, and spectacular 360 views, yet is just minutes to downtown Santa Rosa and Calistoga. The main house is a gorgeous Mediterranean style with rich wood beams, three fireplaces, gourmet kitchen, wine cave, 8' Alder doors, and dining patio. There is a second residence, guest house, and custom barn, all thoughtfully sited for privacy.||N|N|N|N|N|http://www.plumranchestate.com|mstornetta@apr.com||12176|||Sonoma||||
San Rafael|USA|CA||58 Bret Harte Lane|||94901||0.00|None||||2017-07-28 00:00:00|Upslope,Level,Downslope|0.468|BAREISMCG|A321162|Donna Goldman|7ZAPR6|Corte Madera - Central Marin||2018-01-31 09:05:58|21715531|Single Family|Entry Gate||2650000.00|Single Family|5|5|1||San Rafael School District|Coleman or Laural Del Elementary School|San Rafael High School|Davidson Middle School||4923||||1965|Pending|Terrific value for this spacious, resort-like gated home with stunning views of Mt. Tam and gracious areas for entertaining inside and out. The beautiful pool, finished with Italian ceramic tile, Jacuzzi and patios flanked by a fireplace and fountain, are at the center of this truly special home. Easy access to all of Marin, San Francisco and beyond.||N|N|N|N|Y|http://58BretHarteLane.com|donna@lifestylemarin.com||12176|||Marin||||
Tiburon|USA|CA||Ridge Road|||94920||0.00|None||||2017-09-25 00:00:00|Cleared,Cul-De-Sac,Fenced,Trees,View|0.499|BAREISMCG|A336496|Gina Hawk|7ZAPR6|Corte Madera - Central Marin||2018-02-01 01:08:07|21722313|Land|||3800000.00|Land|0|0|0||Tamalpais Union - buyer to confirm||||||||||Active|Own a rare and stunning half-acre in Paradise! There are only a few homes in the world with a VIEW of Golden Gate Bridge, the S.F. Skyline, Mt. Tam and Angel Island. Build your dream home in a world class destination: Tiburon by the Bay. This level to gently down-sloping lot comes complete with all underground utilities installed and paid for.||N|N|N|N|Y|http://www.ridgeroadtiburonlot.com/|ghawk@apr.com||12176|||Marin||||
Sausalito|USA|CA||252 Bay Vista Circle|||94965||535.56|None||||2017-10-26 00:00:00|Level,Downslope|0.016|BAREISMCG|800774|Pattie Lawton|AHALL02|San Francisco||2018-02-01 01:08:07|21725064|Single Family|Cathedral Ceiling,Deck(s)||850000.00|Single Family|3|2|1|||||||1651||||1980|Active|Bright, beautiful, and well designed, this townhouse has a wonderful floor plan with lovely views. Features: Large open floor plan with dining area, living room with vaulted ceiling, views and a private view deck; well designed kitchen; three bedrooms including a luxurious master suite; two full baths plus powder room; laundry; parking; storage. The location is ideal with access to Golden Gate National Recreation Area, and open space for hiking.||N|N|N|N|Y||plawton@apr.com||12176|||Marin||||
San Anselmo|USA|CA||129 Oak Knoll Avenue|||94960||0.00|None||||2017-12-06 00:00:00|Level||BAREISMCG|A013210|Diana Hammer|7ZAPR6|Corte Madera - Central Marin||2018-01-29 14:40:44|21727675|Single Family|||1500000.00|Single Family|5|3|0||Ross Valley|Call district|Drake|Redhill||2589||||0|Pending|This new rendition of a classic traditional home welcomes you with open decks & heartwarming presence. Over 2500 square feet with 5 bedrooms & 3 baths, this home lives large. Sweetly reminiscent of its past life, there is a third level with knotty pine & secret nooks (officially storage). A hot tub off the master bedroom is private & sunny. The back yard has grass & room for storing bikes & other gear. Close to San Anselmo & Fairfax's best spots.||N|N|N|N|Y||dhammer@apr.com||12176|||Marin||||
San Rafael|USA|CA||732 Belle Avenue|||94901||0.00|None||||2018-01-12 00:00:00|Level,Downslope|0.17|BAREISMCG|A327649|Tyler Grossman|7ZAPR6|Corte Madera - Central Marin||2018-01-30 19:47:56|21727778|Single Family|||879000.00|Single Family|3|2|0|||||||1284||||1966|Pending|Tastefully remodeled Dominican home w/ numerous upgrades inside and out. Gourmet kitchen includes granite counters, maple cabinetry, Brazilian hardwood floors, recessed lighting & automatic skylights. Sliders open up to the park-like backyard w/ towering majestic redwoods, seasonal creek & a large level patio. Backyard wired for sound. Play structure. Excellent Coleman school nearby. Close to Whole Foods, downtown SR and great commute location||N|N|N|N|Y|http://www.732Belle.com|tgrossman@apr.com||12176|||Marin||||
ALAMO|USA|CA||LARK LN|||94507|||None||||2013-06-14 23:54:00|Irregular,Secluded,Rolling|37.4|EBRDIMCG|159513914|Fonia Humphries|CCAPR|Danville / Blackhawk||2018-01-29 14:39:32|40618972|Land|||1600000.00|Land|0|0|0||San Ramon (925) 552-5500|Call School District|San Ramon Valley High|Los Cerros Middle|||||||Pending|Gorgeous piece of property at the end of Lark Lane behind security gate. It has Regional Park land on 2 sides, Alamo Ridge to the north and Lark Lane on the East. The best method to view the property is an Aerial View. It is beautiful untouched natural hillside land with a ravine through the parcel.||N|N|N|N|Y||fonia@apr.com||12176|||Contra Costa||||
MARTINEZ|USA|CA||129 Rancho del la Rosa Road|||94553-5707|||None||||2014-05-02 20:00:00|Horses Possible,Other,Fenced|33|EBRDIMCG|159510010|Jerry Vaughn|CCAPR|Danville / Blackhawk||2018-02-01 01:08:12|40655956|Land|||1889000.00|Land|0|0|0||||||||||||Active|Build your dream estate, views in all directions. Possible lot split. Water well on property. Seller has made improvements. Zoned A-2. Close to town but feels like country within the beautiful Alhambra Valley in Martinez. Maps and reports on MLS or email list agent.||N|N|N|N|Y||jvaughn@apr.com||12176|||Contra Costa||||
CONCORD|USA|CA||5518 PINE HOLLOW RD|||94521|Dryer,Garage Door Opener,Washer,Water Filter System,Water Heater Electric,Water Softener System,Window Coverings,Other||None||||2016-08-25 06:00:00|Horses Possible,Irregular,Secluded,Up Slope,Other|13.41|EBRDIMCG|196524240|Edward Massey|CCAPR03|Walnut Creek||2018-02-01 01:08:12|40754780|Single Family|||1449900.00|Single Family|5|3|0|||||||3640||||1968|Active|Unique property zoned agricultural/farming on over 13 acres sitting atop one of Mt Diablo&#226;&#128;&#153;s foothills with panoramic Northerly views. Are you a hunter or a firearm enthusiast? Features include: barn/vehicle restoration garage, RV/Boat parking, storage containers, a horse, chickens, and a basement!||N|N|N|N|Y|http://www.tourfactory.com/idxr1628451/r_MLS|emassey@apr.com||12176|||Contra Costa||||
OAKLAND|USA|CA||340 29th Ave, # 306|||94601|Garage Door Opener,Other|525.00|None||||2017-03-31 23:10:00|Regular|0.589|EBRDIMCG|149520348|Anne McKereghan|AAPR01|Alameda||2018-02-01 01:08:12|40775552|Single Family|||727015.00|Single Family|1|1|1||Oakland (510) 879-8111|||||1104||||2016|Active|Phoenix Commons is a unique +55 Co-Housing community located on the Estuary in Oakland's Jingletown neighborhood. Enjoy living independently in this spacious 1,104 sq ft, one bedroom 1 and a half bath unit, easily converted into a 2 bedroom if additional privacy is desired. The unit is filled with natural light and boasts a full modern kitchen, high ceilings in-unit laundry space, private balcony and more. As co-housing residents, you also engage in a vibrant intentional community developing and defining the community where you live. Building includes gated garage, lap pool, gym area, craft room, private community dock, guest accommodations and more.||N|N|N|N|Y||amckereghan@apr.com||12176|||Alameda||||
LIVERMORE|USA|CA||6033 Dagnino Rd|||94551|Central Vacuum,DSL/Modem Line,Garage Door Opener,Mirrored Closet Door(s),Satellite Dish - Owned,TV Antenna,Washer,Water Heater Gas,Window Coverings,Other||None||||2017-06-05 18:41:00|2 Houses / 1 Lot,Agriculture Use,Down Slope,Horses Possible,Irregular,Secluded,Up Slope,Other|120.696|EBRDIMCG|159510010|Jerry Vaughn|CCAPR|Danville / Blackhawk||2018-02-01 01:08:12|40784114|Single Family|||4875000.00|Single Family|4|4|0||Livermore Valley (925) 606-3200|||||5556||||1988|Active|Diamond Hills&#226;&#128;&#166;&#226;&#128;&#166;.&#226;&#128;&#166;. is an income producing equestrian facility located in the North Livermore Valley area on 120 acres of land, with an 80+ horse facility. Presently an operating turn-key equestrian facility for the boarding and training of horses. Currently home to three trainers, and several on-site ranch hands. Two main barns, each with it&#226;&#128;&#153;s own tack rooms, numerous crossties, and hot and cold H2O wash racks. The facility offers a wide range of options for the equine accommodations, from box stalls, large stall/paddock, to open grazing pasture land! Ideal for year round training, the facility offers an enclosed indoor arena (approx. 100 x 200), three (3) out door arenas and two (2) round pens. Numerous hay, shaving, and storage barns. Three homes accommodate the on site ranch hands. Large flat and accessible areas for trailer/RV parking!||N|N|N|N|Y|http://www.6033dagnino.com|jvaughn@apr.com||12176|||Alameda||||
LIVERMORE|USA|CA||8615 Mines Rd|||94550|||None||||2017-07-07 17:16:00|Agriculture Use,Horses Possible,Irregular,Level,Pond,Other,Rolling,Fenced|16.53|EBRDIMCG|159510010|Jerry Vaughn|CCAPR|Danville / Blackhawk||2018-01-29 14:39:55|40788339|Land|||1275000.00|Land|0|0|0||Livermore Valley (925) 606-3200||||||||||Pending|Gated entry to this one of a kind sixteen +/- acres of extraordinary all useable land, build your dream home and more. Great views of the surrounding hill sides and valleys. Numerous building sites. Three wells on the property, one of which is a 400ft. Artesian well. Possible septic system from old home sites. Property is completely fenced for horses or cattle and has lots of gorgeous Oak and Old Pepper trees. From flat to rolling hills it allows for complete use of this property. Located minutes from downtown Livermore.||N|N|N|N|Y|http://www.8615minesrd.com/|jvaughn@apr.com||12176|||Alameda||||
MORAGA|USA|CA||30 Quail Crossing|||94556|DSL/Modem Line,Window Coverings,Other|0.00|None||||2017-07-18 21:50:00|Agriculture Use,Down Slope,Horses Possible,Irregular,Level,Secluded,Up Slope,Vineyard,Other|49.361|EBRDIMCG|159510010|Jerry Vaughn|CCAPR|Danville / Blackhawk||2018-01-29 14:31:40|40789889|Single Family|||2595000.00|Single Family|1|1|0||Moraga (925) 376-5943|||||1068||||2010|Active|Private gated 53+ acres with world class views in Rancho Moraga area. Guest house approx. 1100 sq. ft. with sport court. Property has a flat building pad for a 5700+/- square foot custom home. Backs to EBMUD open space and trails, property has 2.5+ acres planted vineyard, in need of TLC. Infrastructure and irrigation in place. A custom Castle Brook 6 stall horse barn in place for the equestrian rider. Barn has hay storage, tack room with a bathroom. Paver titles all stalls have mats, automatic waters, fly system and paddocks off each stall. This property is in two (2) parcels 49+/- acres and flat 4.35+/- to build your custom home on top of the world. This property is close to all shopping, located within an excellent school district grades 1-2, with St. Mary's college just down the road. Easy access to San Francisco. A must see for the builder, live in the guest home while you built your dream home.||N|N|N|N|Y|http://www.30quailxing.com|jvaughn@apr.com||12176|||Contra Costa||||
LIVERMORE|USA|CA||3189 Salisbury Ct|||94551|Dryer,Garage Door Opener,Security Alarm - Owned,Washer,Water Heater Gas||None||||2017-07-19 19:51:00|Corner,Cul-De-Sac|0.248|EBRDIMCG|159510798|Kevin Vandermate|CCAPR|Danville / Blackhawk||2018-01-29 14:31:40|40790018|Single Family|||999999.00|Single Family|4|3|0|||||||2714||||1994|Pending|Gorgeous, turnkey home with 4 bedrooms, 3 baths, & over 2700 sq. feet, conveniently located in the desirable Portola Glen neighborhood. Freshly remodeled kitchen features granite slab counter tops, new stainless steel appliances, five burner gas stove, & a large capacity wine/beverage cooler. Large master suite w/sitting area overlooking backyard & pool. Master bath w/new extended-height shower stall, dual sink vanity & large oval tub. Roomy master walk-in closet w/built in organizer.The full bath downstairs has a new shower stall & is located adjacent to the downstairs bedroom/office, great for visiting family or guests.Laundry room w/convenient sink & extra storage cabinets.Inviting & refreshing pool is the centerpiece of the very private backyard which is great for entertaining or just relaxing.Spacious 3 car garage w/epoxy coated floor features a custom-built workbench & lots of diamond plated storage cabinets on the walls. You&#226;&#128;&#153;ll love this Livermore Gem!||N|N|N|N|Y|http://www.tourfactory.com/idxr1826681|kevin@apr.com||12176|||Alameda||||
ORINDA|USA|CA||31 Paintbrush Ln|||94563||488.00|None||||2017-08-25 22:46:00|Close To Clubhouse,Premium Lot,Mostly Level|0.526|EBRDIMCG|159524521|John Lucasey|CCAPR01|Orinda||2018-02-01 01:08:12|40794800|Land|||989000.00|Land|0|0|0||Orinda (925) 254-4901||||||||||Active|Great opportunity for a flagship home in a beautiful new community. Fully approved and ready to go home designs by world renowned architect team Swatt-Miers. Visit their site at www.swattmiers.com. Beautiful views and a most amazing community center with swimming pool, hot tub etc. Resort living at its finest. Quick access to bart and downtown Orinda shopping. And for those who like to drive into the city, just a couple exits away from the tunnel.||N|N|N|N|Y||jhlucasey@apr.com||12176|||Contra Costa||||
DANVILLE|USA|CA||472 Constitution Dr|||94526|Central Vacuum,Garage Door Opener,Water Heater Gas||None||||2017-10-26 23:21:00|Cul-De-Sac,Level,Premium Lot|0.346|EBRDIMCG|159515700|Julianne Chan|CCAPR|Danville / Blackhawk||2018-02-01 01:08:12|40801928|Single Family|||1899000.00|Single Family|4|2|0||San Ramon Valley (925) 552-5500|||||3276||||1968|Active|WOW! Private single story cul-de-sac home with Mt. Diablo view! Huge gourmet kitchen with vaulted ceiling has 12 ft window overlooking pool, SPA and that amazing VIEW. Gigantic dining room will seat 12 for dinner. Spacious living room AND family room. Four bedrooms plus Tech Center and a laundry room to love. Lots of storage and cabinet space. Large cabana with full bath. Big work shop (can drive a car in it) with RV parking. New furnace and new air conditioning unit. Easy commute location. Close to top schools. No HOA dues. House was rebuilt from the floor up 19 years ago and enlarged and updated. Custom soaring ceiling that required a crane to put in place. Must see home to really appreciate all its amenities.||N|N|N|N|Y|http://www.tourfactory.com/idxr1889999|juliannechan@apr.com||12176|||Contra Costa||||
BERKELEY|USA|CA||917 Shattuck Ave|||94707|Dryer,Security Alarm - Owned,Washer||None||||2017-10-31 22:45:00|Level,Secluded,Up Slope|0.108|EBRDIMCG|159516678|Janette Corby|CCAPR01|Orinda||2018-01-29 14:33:08|40802357|Single Family|||1395000.00|Single Family|5|3|1|||||||3046||||1914|Pending|Gracious brown shingle Craftsman just steps to the Gourmet Ghetto and Solano Ave. Spacious living room with fireplace, formal dining room, and gorgeous remodeled kitchen that opens to level landscaped flowering garden. Remodeled upstairs with lovely San Francisco Bay views from the Master bedroom. Home has separate in-law unit.||N|N|N|N|Y||jcorby@apr.com||12176|||Alameda||||
BRENTWOOD|USA|CA||60 OLD STAGECOACH RD|||94513|Garage Door Opener,Water Heater Gas||None||||2017-11-08 00:45:00|Agriculture Use,Horses Possible,Level,Regular|5.36|EBRDIMCG|R01325274|Scott MacIntyre|CCAPR03|Walnut Creek||2018-02-01 01:08:12|40803091|Single Family|||1100000.00|Single Family|3|2|0|||||||1874||||1977|Active|3 bed 2 bath home on roughly 5.25 acres. Small shop in back. Great place for a horse setup or potential for grapes. Aprox 400 ft of old hwy 4 frontage. Home sits in back of property away from the old hwy. New front picture to be added Thur.||N|N|N|N|Y||scottm@apr.com||12176|||Contra Costa||||
DANVILLE|USA|CA||4162 Rockcreek Dr|||94506|Mirrored Closet Door(s),Water Heater Gas|95.00|None||||2017-11-08 18:53:00|Corner|0.189|EBRDIMCG|QS807043|Thomas Westfall|QSALPR18|San Francisco - Noe Valley||2018-01-29 14:33:25|40803153|Single Family|||1195000.00|Single Family|4|3|0||San Ramon Valley (925) 552-5500|||||3281||||1989|Pending|Sensational La Paloma model 4 bed, 3 bath home in coveted Shadow Creek. Lovingly maintained by original occupants & first time on the market in over 25 years. Spacious & open floor plan of 3,281 sq ft w/ formal living & dining featuring vaulted ceilings, gleaming hardwood floors, recessed lighting, plantation shutters, & gas burning fireplace. Gorgeous chef's kitchen w/ breakfast bar, informal dining, new tile flooring, stainless steel appliances, granite countertops, large pantry, & plenty of cabinetry Elegant & stately master suite w/ vaulted ceilings, wardrobe, gas burning fireplace, & massive en-suite bath w/ dual vanities & jet-tub. Exquisitely maintained & landscaped, large corner lot of 8,249 sq ft w/ sizable back/side yards. Huge 3 car attached garage, laundry room, dual zoned A/C & heat, solar power, H2O purification system, & more! Great location near clubhouse/pool & walking distance to award winning schools. Just a quick drive to amazing shopping, dining & entertainment.||N|N|N|N|Y|http://www.4162Rockcreek.com|thomaswestfall@apr.com||12176|||Contra Costa||||
PLEASANTON|USA|CA||844 Genevieve|||94588|Central Vacuum,Intercom,Mirrored Closet Door(s),Security Alarm - Owned,Water Heater Gas,Window Coverings||None||||2017-11-11 08:52:00|Cul-De-Sac|0.28|EBRDIMCG|206514516|Kris Moxley|ML37608|Pleasanton / Livermore Valley||2018-02-01 01:08:12|40803545|Single Family|||1500000.00|Single Family|3|2|0|||||||2240||||1997|Active|A highly sought after single story home is minutes from the charming downtown area to enjoy its farmers market, coffee shops, restaurants and more. Double door entry welcomes you into the home's open floor plan with high ceilings, formal living room and formal dining room. The spacious Master bedroom is graced by the views of its rear yard patio area and saltwater pool with a spa, waterfall, also a built-in BBQ area and terraced planters. The finished garage offers generous built in storage cabinets throughout.||N|N|N|N|Y|http://www.tourfactory.com/idxr1897515|kmoxley@apr.com||12176|||Alameda||||
PLEASANTON|USA|CA||866 Sunset Creek Lane|||94566|Garage Door Opener,Security Alarm - Owned,Stereo Speakers Built-In,Water Heater Gas,Water Softener System,Window Coverings|82.00|None||||2017-11-16 22:02:00|Level,Premium Lot,Up Slope|0.294|EBRDIMCG|206551059|Linda Traurig|ML37608|Pleasanton / Livermore Valley||2018-01-30 17:48:17|40803949|Single Family|||2188000.00|Single Family|6|5|0||Pleasanton (925) 462-5500|||||4455||||2000|Pending|Open Sunday 1/28, 1-4:00. Price reduction of $77,000 to $2,188,000! Gorgeous Hillstar Model in Bridle Creek.This home has it all, hdwd. & tile flooring, upgraded wall-to-wall carpeting, crown molding, custom trim and wood work, plantation shutters, 2 full bedrooms and 2 full baths on first floor (one bedroom is currently being used as an office) kitchen family room combo, resort like backyard with salt-water pebble tec pool and spa w/waterfalls against a backdrop with lush landscaping for maximum privacy. Beautiful arbor, semi-built in BBQ, & a gas fire pit. There's a butler's pantry, over sized walk-in kitchen pantry, large master suite with beautiful custom closet organizer, including center island, a large bonus rm. & much more. Owned solar for pool and spa, owned water softener, owned alarm system, almost brand new water heater, custom garage cabinets, exterior painted approx. 1 year ago, interior painted a few months ago, this home is a 10++! Amazing value for Bridle Creek!||N|N|N|N|Y|http://www.tourfactory.com/idxr1882864|ltraurig@apr.com||12176|||Alameda||||
SAN RAMON|USA|CA||111 Geranium Court|||94582|Garage Door Opener,Security Alarm - Leased,Water Heater Gas,Window Coverings|20.00|None||||2017-11-25 00:24:00|Court|0.138|EBRDIMCG|159516543|Khush Kermanizadeh|CCAPR|Danville / Blackhawk||2018-01-29 14:33:59|40804399|Single Family|||1250000.00|Single Family|4|3|1||San Ramon Valley (925) 552-5500|||||2801||||2007|Pending|Open Sat & Sund 01/6&7th. Stunning 4 bedroom + Bonus room with balcony, in desirable Belvedere Community of Gale Ranch offers 2801+/- sq.ft on a +/-6,000 sq.ft lot, court location with great curb appeal. One bed and full bath on main level. Engineered wood floors, designer paint throughout the house, gourmet eat in kitchen with granite countertops, stainless steel appliances - Whirlpool microwave, built in refrigerator, 4 stove gas burner cook top, electric oven, custom mahogany color cabinets w/glass doors and light, huge island, adjoins spacious family room w/fireplace and mantel. Dining room with French doors leads to private patio courtyard area. Plantation shutters throughout the house. Spacious Master suite on second level with spa like master bath and a marble surround tub. Bonus room with attached half bath and balcony with views of the hills. Entertainer's delight backyard with pool, spa with child safety cover, waterfall, built-in barbecue and lots more...||N|N|N|N|Y|https://protect-us.mimecast.com/s/LLE4BJc5O6Vbcd|kkermani@apr.com||12176|||Contra Costa||||
